yassirlakhtiri@Yassirs-MacBook-Air orb_platform % python main.py --data data/nq_1m.csv --optimize --iterations 300 --seed 42
[28/300] robustness_score=2.9200 trades=533 params={'entry.or_minutes': 15, 'entry.buffer_points': 3.1157770497320456, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 1.273211655521633, 'risk.fixed_stop_points': 22.251787258576506, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.243021035485998, 'risk.atr_mult_target': 2.663237433000381, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.80453560052749, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 1.8546358905454658}
[29/300] robustness_score=0.8260 trades=590 params={'entry.or_minutes': 10, 'entry.buffer_points': 3.0775745797569027, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.217284292172318, 'risk.fixed_stop_points': 22.896644499695036, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.6624704756175355, 'risk.atr_mult_target': 2.3264793979144223, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.9134087962495046, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.8177014899968436}
[30/300] robustness_score=0.0807 trades=560 params={'entry.or_minutes': 14, 'entry.buffer_points': 2.5772600495760822, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 2.181989176392918, 'risk.fixed_stop_points': 16.739219979918648, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 0.8683849056144317, 'risk.atr_mult_target': 1.1386411542782753, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 1.033528767672816, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.4108323367601783}
[31/300] robustness_score=0.3262 trades=497 params={'entry.or_minutes': 25, 'entry.buffer_points': 2.878354497046591, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.109961098946097, 'risk.fixed_stop_points': 29.681740333353524, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.731649565528416, 'risk.atr_mult_target': 3.581321696267564, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 1.23410448812079, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 0.8517733634130633}
[32/300] robustness_score=3.0282 trades=726 params={'entry.or_minutes': 27, 'entry.buffer_points': 2.589788752218704, 'entry.direction': 'both', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 0.8333477638925721, 'risk.fixed_stop_points': 23.9392971249471, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.8750990211078897, 'risk.atr_mult_target': 3.674277777431311, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 1.296683003665698, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 2.2944162064665243}
[33/300] robustness_score=0.1898 trades=522 params={'entry.or_minutes': 28, 'entry.buffer_points': 4.3074745489163115, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 1.1932783828268514, 'risk.fixed_stop_points': 33.33024506001915, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.0668710924544533, 'risk.atr_mult_target': 1.8237923407526149, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 1.1562538351332676, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.0434302141643692}
[34/300] robustness_score=1.9440 trades=729 params={'entry.or_minutes': 15, 'entry.buffer_points': 4.465134163951584, 'entry.direction': 'both', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 1.4575882310783455, 'risk.fixed_stop_points': 14.58415799731444, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 0.6605721267846951, 'risk.atr_mult_target': 2.2227981089997604, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.7989290809237871, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 2.1657823386809754}
[35/300] robustness_score=7.5842 trades=506 params={'entry.or_minutes': 17, 'entry.buffer_points': 4.524192391700884, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 0.5147402089599826, 'risk.fixed_stop_points': 20.55276408015474, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.6336198764227614, 'risk.atr_mult_target': 3.860291015410319, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.9458646811322777, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.476458955100501}
[36/300] robustness_score=0.2925 trades=729 params={'entry.or_minutes': 13, 'entry.buffer_points': 2.1791798802331828, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 100, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 2.1978547125708743, 'risk.fixed_stop_points': 22.129500074129112, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.6012641576563964, 'risk.atr_mult_target': 3.758624862006928, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 1.388314635104122, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 0.6678949243240004}
[37/300] robustness_score=1.4789 trades=559 params={'entry.or_minutes': 18, 'entry.buffer_points': 0.6784974361528212, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.4477596604703489, 'risk.fixed_stop_points': 16.349808526344447, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.3437513701846766, 'risk.atr_mult_target': 3.6389199580056864, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 1.2024117882657417, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 1.0045430635647612}
